Experience_in_Months,Attrition_Status,Gender,Employee_Age,Employee_Industry,Employee_Profession,Source_of_Hire,Coach,Head_Supervisor_Gender,Wage_Color,Way_to_Work,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
7.030800821,1,m,35,Banking,HR,Recommendation,no,f,white,bus,6.2,4.1,5.7,7.1,8.3
22.9650924,1,m,33,Banking,HR,JobSite,no,m,white,bus,6.2,4.1,5.7,7.1,8.3
15.93429158,1,f,35,PowerGeneration,HR,Recommendation,no,m,white,bus,6.2,6.2,2.6,4.8,8.3
15.93429158,1,f,35,PowerGeneration,HR,Recommendation,no,m,white,bus,5.4,7.6,4.9,2.5,6.7
8.410677618,1,m,32,Retail,Commercial,JobSiteVacantPosition,yes,f,white,bus,3,4.1,8,7.1,3.7
8.969199179,1,f,42,Manufacturing,HR,JobSite,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
8.969199179,1,f,42,Manufacturing,HR,JobSite,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
120.4435318,1,f,28,Retail,HR,EmployeeRecommendation,no,m,white,bus,3.8,5.5,8,4,4.4
8.607802875,1,f,29,Banking,HR,JobSite,no,f,white,bus,8.6,6.9,2.6,4,7.5
4.435318275,1,f,30,Consulting,Marketing,JobSiteVacantPosition,yes,m,white,bus,5.4,5.5,3.3,7.9,8.3
67.35112936,1,f,40,Manufacturing,HR,Recommendation,no,m,white,car,8.6,4.1,1.8,7.1,6.7
20.92813142,1,m,23,Banking,HR,EmployeeRecommendation,yes,m,white,bus,3,6.9,4.9,4.8,7.5
20.92813142,1,f,22,Consulting,HR,Recommendation,supervisor,f,white,foot,5.4,8.4,4.9,3.3,6
8.936344969,1,f,24,State,Etc,Advertising,yes,f,white,foot,7,6.2,4.1,7.1,9
33.57700205,1,f,25,Etc,HR,RecruitingAgency,supervisor,f,white,foot,9.4,1.2,4.1,5.6,6.7
16.39425051,1,f,28,Building,HR,JobSiteVacantPosition,no,m,white,car,8.6,5.5,4.9,4.8,5.2
15.34291581,1,f,30,Banking,HR,Recommendation,no,m,white,bus,5.4,5.5,3.3,4.8,6.7
26.4476386,1,f,27,IT,Sales,EmployeeRecommendation,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3
14.71868583,1,f,36,Banking,HR,EmployeeRecommendation,yes,f,grey,bus,5.4,6.9,3.3,3.3,7.5
45.37166324,1,f,29,Etc,HR,EmployeeRecommendation,no,m,white,bus,7.8,6.2,6.4,7.9,6
45.37166324,1,f,29,Etc,HR,EmployeeRecommendation,no,m,white,bus,3.8,3.4,5.7,8.7,7.5
36.96098563,1,f,48,State,BusinessDevelopment,JobSite,no,f,white,bus,4.6,6.2,4.9,5.6,6.7
22.47227926,1,f,29,Banking,Finance,RecruitingAgency,no,f,white,car,7.8,4.8,5.7,7.1,6
59.20328542,1,f,25,Banking,HR,FriendRecommendation,yes,f,white,bus,5.4,4.8,7.2,5.6,5.2
59.20328542,1,f,25,Banking,HR,FriendRecommendation,yes,f,white,bus,4.6,4.1,8.7,5.6,2.1
12.38603696,1,f,36,Banking,Finance,Recommendation,no,m,white,car,7.8,6.9,3.3,3.3,7.5
24.3449692,1,f,36,Retail,HR,Recommendation,supervisor,m,white,bus,7.8,2.6,5.7,7.1,5.2
11.95893224,1,m,29,Banking,HR,Recommendation,no,f,white,car,3.8,1.9,9.5,7.9,3.7
3.252566735,1,f,35,HoReCa,HR,JobSite,supervisor,f,white,bus,3,7.6,7.2,4,7.5
3.252566735,1,f,35,HoReCa,HR,JobSite,supervisor,f,white,bus,1.4,8.4,8,4.8,6
14.58726899,1,f,21,Telecom,Sales,Recommendation,yes,f,white,bus,8.6,4.1,4.9,5.6,6
16.91991786,1,m,35,Etc,Sales,JobSiteVacantPosition,no,m,white,car,4.6,3.4,4.1,8.7,4.4
28.15605749,1,f,25,Etc,Etc,EmployeeRecommendation,supervisor,f,white,bus,3.8,6.9,6.4,7.1,7.5
60.94455852,1,f,30.40033257,Retail,HR,JobSiteVacantPosition,no,m,white,bus,7,6.2,4.1,2.5,6.7
87.68788501,1,f,29,Consulting,HR,Recommendation,no,f,white,bus,7,6.2,4.1,4,9
43.4661191,1,f,22,Pharma,HR,Recommendation,no,m,white,bus,3,4.1,8.7,7.1,6
22.73511294,1,f,34,Retail,HR,RecruitingAgency,no,m,white,car,5.4,5.5,4.9,4.8,4.4
22.73511294,1,f,34,Retail,HR,RecruitingAgency,no,m,white,car,6.2,6.2,4.9,3.3,2.9
22.73511294,1,f,34,Retail,HR,RecruitingAgency,no,m,white,car,5.4,5.5,4.9,4.8,4.4
22.73511294,1,f,34,Retail,HR,RecruitingAgency,no,m,white,car,6.2,6.2,4.9,3.3,2.9
13.07597536,1,f,21,Etc,HR,JobSite,no,f,white,bus,5.4,7.6,4.9,3.3,2.1
7.589322382,1,f,22,Etc,HR,JobSiteVacantPosition,yes,f,grey,car,7,4.8,6.4,4,4.4
36.23819302,1,f,32,Retail,HR,JobSiteVacantPosition,no,m,white,car,3,7.6,7.2,4.8,2.9
19.08829569,1,f,36,Pharma,Etc,JobSite,no,f,white,car,4.6,7.6,5.7,5.6,8.3
4.369609856,1,f,30,Banking,HR,JobSiteVacantPosition,no,m,white,bus,6.2,3.4,8,3.3,3.7
80.98562628,1,f,32,Retail,HR,Recommendation,supervisor,m,white,bus,3.8,6.2,8,4,6
9.100616016,1,f,33,Retail,HR,JobSite,no,m,white,car,7,4.8,4.1,7.1,8.3
36.92813142,1,f,49,State,BusinessDevelopment,JobSite,supervisor,f,white,bus,4.6,6.2,4.9,5.6,6.7
3.975359343,1,f,29,Retail,HR,JobSite,yes,m,white,bus,7.8,5.5,5.7,4,5.2
3.975359343,1,f,29,Retail,HR,JobSite,yes,m,white,bus,6.2,6.2,5.7,6.3,2.9
3.975359343,1,f,29,Retail,HR,JobSite,yes,m,white,bus,7,6.2,5.7,4,3.7
7.589322382,1,m,36,Mining,HR,JobSite,no,m,white,foot,4.6,4.8,7.2,6.3,7.5
95.21149897,1,f,22,State,Teaching,Advertising,supervisor,m,white,bus,8.6,4.8,4.9,4,6.7
41.69199179,1,f,21,Transportation,HR,JobSite,yes,f,white,foot,7.8,5.5,2.6,7.1,9
14.9486653,1,f,25,Retail,HR,JobSite,no,f,white,bus,8.6,6.2,3.3,6.3,6
50.72689938,1,m,38,Manufacturing,HR,Recommendation,no,m,white,car,6.2,3.4,7.2,6.3,3.7
50.72689938,1,m,38,Manufacturing,HR,Recommendation,no,m,white,car,7,5.5,5.7,6.3,6
35.28542094,1,f,23,Consulting,HR,JobSite,yes,f,white,bus,10,4.8,4.1,5.6,8.3
35.28542094,1,f,23,Consulting,HR,JobSite,yes,f,white,bus,8.6,4.8,4.1,6.3,9
35.94250513,1,m,38,Banking,BusinessDevelopment,FriendRecommendation,no,m,white,car,8.6,3.4,6.4,4,6
15.57289528,1,f,24,Retail,HR,JobSiteVacantPosition,no,f,white,foot,6.2,7.6,3.3,3.3,6.7
15.57289528,1,f,24,Retail,HR,JobSiteVacantPosition,no,f,white,foot,6.2,7.6,3.3,3.3,6.7
52.96098563,1,f,36,Manufacturing,HR,Recommendation,supervisor,m,white,car,4.6,4.1,8,5.6,6
7.819301848,1,f,21,State,Sales,Advertising,supervisor,m,grey,bus,4.6,5.5,7.2,3.3,5.2
81.83983573,1,f,29,Telecom,HR,Recommendation,supervisor,f,white,foot,3.8,6.9,6.4,5.6,8.3
55.72073922,1,f,29,Banking,HR,JobSite,supervisor,f,white,bus,7,6.2,4.1,4,4.4
4.336755647,1,f,26,Manufacturing,HR,EmployeeRecommendation,no,f,white,car,3.8,4.8,5.7,7.9,2.9
18.95687885,1,m,36,Etc,Management,Recommendation,supervisor,m,white,car,6.2,4.1,6.4,6.3,5.2
18.95687885,1,m,36,Etc,Management,Recommendation,supervisor,m,white,car,8.6,2.6,7.2,4.8,4.4
53.81519507,1,f,30.40033257,State,Teaching,FriendRecommendation,no,m,white,foot,4.6,9.1,4.1,4,6
90.51334702,1,f,22,State,HR,EmployeeRecommendation,supervisor,f,white,bus,6.2,5.5,3.3,6.3,6.7
40.57494867,1,m,29,Banking,Marketing,Recommendation,no,f,white,bus,6.2,4.8,6.4,5.6,5.2
59.49897331,1,f,23,State,Teaching,Advertising,no,f,white,bus,7,5.5,3.3,6.3,5.2
6.603696099,1,m,22,Manufacturing,Management,Advertising,no,f,white,foot,7.8,5.5,1,9.4,9
44.78028747,1,f,36,Etc,HR,Recommendation,no,m,white,bus,7.8,4.8,4.9,5.6,9
6.669404517,1,m,27,State,Teaching,Recommendation,no,f,white,bus,6.2,5.5,6.4,4,4.4
15.70431211,0,f,34,Retail,HR,JobSite,no,f,white,car,8.6,5.5,4.1,5.6,6.7
15.70431211,0,f,34,Retail,HR,JobSite,no,f,white,car,8.6,3.4,4.1,7.1,6
15.70431211,0,f,34,Retail,HR,JobSite,no,f,white,car,7.8,4.1,4.1,7.1,6.7
59.20328542,1,f,25,Banking,HR,FriendRecommendation,no,f,white,bus,5.4,4.8,7.2,5.6,5.2
59.20328542,1,f,25,Banking,HR,FriendRecommendation,no,f,white,bus,4.6,4.1,8.7,5.6,2.1
17.3798768,1,f,24,Consulting,HR,Recommendation,no,f,white,bus,5.4,6.9,4.9,4,6.7
38.86652977,1,f,27,Retail,Etc,EmployeeRecommendation,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3
7.950718686,1,f,34,Banking,BusinessDevelopment,RecruitingAgency,supervisor,m,white,car,7,6.2,7.2,2.5,5.2
7.950718686,1,f,34,Banking,BusinessDevelopment,RecruitingAgency,supervisor,m,white,car,8.6,6.9,5.7,3.3,4.4
96.52566735,1,f,24,IT,HR,RecruitingAgency,no,f,white,bus,6.2,4.8,7.2,4,6.7
86.53798768,1,f,23,State,Teaching,EmployeeRecommendation,yes,f,white,bus,3.8,6.9,8,1.7,2.1
52.862423,1,f,38,Telecom,HR,JobSiteVacantPosition,no,m,white,car,4.6,5.5,7.2,6.3,7.5
17.57700205,1,f,25,Banking,HR,JobSite,no,m,white,bus,6.2,6.2,5.7,5.6,7.5
17.57700205,1,f,25,Banking,HR,JobSite,no,m,white,bus,6.2,7.6,4.1,4.8,9
25.06776181,1,f,28,Manufacturing,HR,JobSiteVacantPosition,supervisor,m,white,bus,6.2,4.8,4.1,4,6.7
86.83367556,1,f,29,Manufacturing,HR,Recommendation,supervisor,f,white,car,7,5.5,1.8,6.3,6
13.10882957,1,m,26,Etc,Commercial,Recommendation,no,m,white,car,6.2,4.1,4.9,6.3,2.9
26.18480493,1,m,21,Etc,Marketing,EmployeeRecommendation,no,m,white,bus,4.6,6.9,4.1,5.6,6
9.626283368,1,f,25,Consulting,HR,JobSiteVacantPosition,supervisor,f,white,bus,5.4,6.9,5.7,3.3,2.9
9.889117043,1,f,25,Consulting,HR,JobSiteVacantPosition,supervisor,f,white,bus,5.4,6.9,5.7,3.3,2.9
3.351129363,1,f,24,Consulting,HR,JobSiteVacantPosition,no,f,white,bus,4.6,6.9,5.7,5.6,2.9
15.3100616,1,f,31,State,HR,Recommendation,no,m,grey,bus,2.2,1,8,8.7,3.7
80.06570842,1,f,45,Retail,HR,JobSite,no,f,white,bus,3,5.5,10,6.3,2.9
16.78850103,1,f,21,Etc,Etc,Recommendation,supervisor,f,white,bus,7,6.9,5.7,4,5.2
19.44969199,1,f,22,Etc,HR,JobSiteVacantPosition,supervisor,f,white,bus,5.4,6.2,4.1,8.7,8.3
9.034907598,1,f,37,Mining,Commercial,RecruitingAgency,yes,m,white,bus,3.8,7.6,4.9,7.1,9
18.49691992,1,f,32,Etc,HR,JobSite,supervisor,m,white,bus,7.8,6.2,3.3,4,8.3
53.19096509,1,f,37,Manufacturing,HR,Recommendation,supervisor,m,white,bus,7,4.8,5.7,6.3,8.3
42.57905544,1,f,30,Retail,HR,RecruitingAgency,no,f,white,bus,6.2,6.2,5.7,5.6,8.3
23.6550308,1,f,37,Transportation,HR,JobSiteVacantPosition,no,m,white,bus,6.2,5.5,5.7,6.3,9
41.29774127,1,f,22,Pharma,HR,Recommendation,no,m,white,bus,3.8,1.9,8.7,6.3,4.4
41.29774127,1,f,22,Pharma,HR,Recommendation,no,m,white,bus,5.4,2.6,8,7.1,5.2
123.3347023,1,f,22,Banking,IT,EmployeeRecommendation,supervisor,m,white,bus,4.6,4.8,6.4,7.1,6
123.3347023,1,f,22,Banking,IT,EmployeeRecommendation,supervisor,m,white,bus,4.6,6.2,6.4,4,6.7
13.17453799,1,m,28,Telecom,IT,Recommendation,no,m,white,car,8.6,6.2,1,5.6,6.7
13.17453799,1,m,28,Telecom,IT,Recommendation,no,m,white,car,7,6.2,2.6,5.6,8.3
14.85010267,1,m,25,Manufacturing,HR,JobSite,supervisor,f,white,car,6.2,5.5,5.7,5.6,4.4
24.24640657,1,f,23,Building,Marketing,Recommendation,supervisor,f,white,bus,3.8,7.6,7.2,2.5,4.4
12.09034908,1,m,25,Building,HR,JobSiteVacantPosition,yes,f,white,bus,7,4.8,4.9,5.6,6
11.49897331,1,f,26,Banking,HR,JobSiteVacantPosition,no,f,white,bus,4.6,6.2,5.7,4,6
11.49897331,1,f,26,Banking,HR,JobSiteVacantPosition,no,f,white,bus,4.6,5.5,6.4,5.6,5.2
27.36755647,1,m,30,Retail,Sales,JobSiteVacantPosition,no,m,white,car,7,4.8,1.8,8.7,6.7
15.54004107,1,m,38,IT,IT,EmployeeRecommendation,no,m,white,car,6.2,4.1,1.8,8.7,8.3
4.960985626,1,f,37,State,Marketing,FriendRecommendation,no,f,white,foot,9.4,4.1,4.9,4,8.3
19.8110883,1,f,26,Agriculture,Law,Recommendation,no,m,grey,bus,5.4,4.8,8.7,5.6,2.9
103.3921971,1,f,27,Banking,HR,JobSiteVacantPosition,no,f,white,car,3.8,4.8,9.5,6.3,3.7
3.975359343,1,f,29,Retail,Etc,JobSite,no,m,white,bus,7.8,5.5,5.7,4,5.2
3.975359343,1,f,29,Retail,Etc,JobSite,no,m,white,bus,6.2,6.2,5.7,6.3,2.9
3.975359343,1,f,29,Retail,Etc,JobSite,no,m,white,bus,7,6.2,5.7,4,3.7
70.93223819,1,f,26,Manufacturing,HR,Recommendation,no,m,white,bus,3.8,5.5,8.7,3.3,3.7
70.93223819,1,f,26,Manufacturing,HR,Recommendation,no,m,white,bus,3,6.9,6.4,3.3,2.9
51.94250513,1,f,49,Manufacturing,HR,JobSite,supervisor,m,white,bus,6.2,8.4,3.3,3.3,6
38.76796715,1,m,21,Banking,HR,FriendRecommendation,yes,f,white,foot,7.8,6.2,2.6,5.6,9
38.76796715,1,m,21,Banking,HR,FriendRecommendation,yes,f,white,foot,7,3.4,3.3,7.1,8.3
34.95687885,1,m,26,Mining,HR,JobSite,yes,f,white,car,4.6,3.4,8.7,7.9,7.5
49.3798768,1,f,22,Etc,Marketing,Recommendation,no,f,grey,car,5.4,6.9,6.4,4,4.4
25.65913758,1,m,51,Retail,Etc,EmployeeRecommendation,no,m,white,car,3,5.5,9.5,5.6,5.2
50.72689938,1,f,28,Manufacturing,Finance,Recommendation,no,m,white,car,7.8,3.4,6.4,4,4.4
22.07802875,1,m,52,Consulting,Consulting,Recommendation,no,m,white,foot,3,9.1,4.9,6.3,6.7
11.07186858,1,f,43,Pharma,HR,JobSiteVacantPosition,supervisor,f,white,car,4.6,5.5,3.3,7.9,7.5
50.59548255,1,f,44,Manufacturing,HR,Recommendation,no,m,grey,car,7,6.9,4.9,3.3,6
17.41273101,1,f,45,Manufacturing,Engineer,Recommendation,supervisor,f,white,bus,3.8,4.1,7.2,5.6,3.7
24.41067762,1,f,27,Building,HR,Recommendation,no,f,white,bus,3.8,9.8,4.1,4,9
23.88501027,1,f,26,Retail,HR,JobSiteVacantPosition,supervisor,f,white,bus,7,5.5,4.1,4.8,7.5
20.04106776,1,f,25,Manufacturing,HR,Advertising,yes,f,white,car,9.4,3.4,1.8,8.7,7.5
150.9979466,1,f,19,Banking,HR,Advertising,yes,m,white,foot,7,3.4,5.7,7.9,6.7
10.7761807,1,f,31,Etc,HR,Recommendation,no,m,white,bus,9.4,3.4,1,8.7,9.8
78.68583162,1,f,31,Banking,HR,Recommendation,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1
78.68583162,1,f,31,Banking,HR,Recommendation,no,f,grey,bus,3.8,4.1,7.2,8.7,2.1
81.18275154,1,f,31,RealEstate,HR,EmployeeRecommendation,supervisor,f,white,bus,6.2,4.8,8.7,6.3,5.2
13.40451745,1,f,30.40033257,Etc,HR,JobSiteVacantPosition,no,f,white,bus,6.2,4.1,6.4,6.3,1
13.40451745,1,f,30.40033257,Etc,HR,JobSiteVacantPosition,no,f,white,bus,7,6.9,4.1,6.3,3.7
142.4558522,1,f,18,Retail,HR,Advertising,no,f,white,bus,6.2,5.5,6.4,4.8,5.2
10.94045175,1,m,33,IT,Consulting,JobSiteVacantPosition,yes,m,white,car,3,10,5.7,6.3,8.3
12.05749487,1,f,36,Retail,Sales,JobSiteVacantPosition,no,m,white,bus,5.4,4.8,4.9,4.8,6
54.07802875,1,f,31,Etc,HR,JobSite,supervisor,m,white,car,3,5.5,7.2,5.6,6
5.650924025,1,f,45,IT,HR,Recommendation,no,m,white,car,7.8,4.8,4.1,4,6
19.84394251,1,f,29,Retail,HR,JobSite,supervisor,f,white,car,8.6,6.9,4.9,3.3,6
79.86858316,1,m,23,Banking,HR,Recommendation,no,f,white,bus,5.4,5.5,5.7,8.7,5.2
8.772073922,1,f,27,Retail,HR,Recommendation,supervisor,f,white,car,6.2,4.8,6.4,6.3,2.9
19.18685832,1,f,22,Retail,Sales,JobSiteVacantPosition,yes,m,grey,bus,8.6,4.1,4.9,4.8,5.2
7.589322382,1,m,47,Manufacturing,Commercial,JobSite,no,m,grey,bus,3.8,1.9,8.7,8.7,2.1
7.589322382,1,m,47,Manufacturing,Commercial,JobSite,no,m,grey,bus,4.6,4.1,5.7,9.4,3.7
7.589322382,1,m,47,Manufacturing,Commercial,JobSite,no,m,grey,bus,3,5.5,4.9,9.4,4.4
10.84188912,1,f,30.40033257,Consulting,HR,JobSiteVacantPosition,no,m,white,bus,7.8,5.5,4.9,7.1,6
51.08829569,1,f,28,Transportation,HR,Recommendation,supervisor,f,white,car,4.6,6.9,4.9,4,6
128.0657084,0,f,43,Manufacturing,HR,Recommendation,supervisor,m,white,bus,4.6,7.6,4.9,5.6,6
28.35318275,1,m,26,Consulting,Consulting,EmployeeRecommendation,no,f,white,bus,8.6,5.5,4.1,7.1,6.7
4.533880903,1,f,31,Retail,Sales,RecruitingAgency,no,f,grey,bus,5.4,5.5,7.2,4.8,1.3
17.93839836,1,m,24,Retail,HR,JobSite,supervisor,f,grey,bus,4.6,7.6,6.4,4.8,6.7
23.45790554,1,f,27,Building,HR,Recommendation,no,f,white,bus,3.8,9.8,4.1,4,9
16.22997947,1,m,35,Retail,HR,Recommendation,no,m,white,car,6.2,5.5,5.7,4,2.9
16.22997947,1,m,35,Retail,HR,Recommendation,no,m,white,car,7,4.8,2.6,5.6,6
71.2936345,1,f,31,PowerGeneration,HR,JobSiteVacantPosition,supervisor,f,white,car,5.4,4.1,6.4,4.8,4.4
9.527720739,1,m,23,IT,HR,JobSite,no,f,white,bus,7,4.1,6.4,4.8,5.2
17.01848049,1,f,40,Banking,Sales,Advertising,supervisor,f,white,car,5.4,4.1,4.9,6.3,7.5
130.9897331,1,f,31,IT,HR,RecruitingAgency,no,m,white,bus,5.4,6.9,3.3,4,8.3
37.09240246,1,f,37,Etc,HR,JobSiteVacantPosition,yes,f,white,bus,6.2,6.2,6.4,5.6,5.2
0.427104723,1,f,24,IT,HR,JobSiteVacantPosition,yes,f,white,bus,8.6,4.1,4.9,3.3,6
12.8788501,1,f,23,Building,HR,JobSite,no,f,grey,bus,5.4,8.4,4.1,4.8,6
12.8788501,1,f,23,Building,HR,JobSite,no,f,grey,bus,7.8,5.5,4.1,4.8,5.2
8.147843943,1,f,46,RealEstate,HR,Recommendation,no,m,white,car,4.6,7.6,6.4,4,6
7.326488706,1,f,23,Consulting,Marketing,JobSiteVacantPosition,yes,f,white,bus,6.2,4.8,5.7,3.3,3.7
17.93839836,1,f,40,IT,HR,JobSite,yes,m,white,bus,3,8.4,7.2,4.8,8.3
14.6201232,1,m,39,Manufacturing,Engineer,FriendRecommendation,no,m,white,car,3.8,4.8,5.7,7.9,3.7
16,1,f,28,Retail,HR,JobSiteVacantPosition,no,f,white,car,3,5.5,6.4,5.6,3.7
32.45995893,1,m,40,Etc,HR,JobSite,yes,m,white,car,5.4,3.4,5.7,7.9,9.8
73.49486653,1,m,33,Retail,Finance,Recommendation,no,f,white,bus,2.2,6.2,6.4,6.3,5.2
73.49486653,1,m,33,Retail,Finance,Recommendation,no,f,white,bus,3.8,4.1,8,6.3,4.4
11.8275154,1,f,24,Banking,HR,EmployeeRecommendation,no,f,white,foot,7.8,6.2,4.9,1.7,3.7
46.35728953,1,f,38,Retail,HR,Recommendation,no,m,white,bus,6.2,4.1,4.9,5.6,6.7
52.50102669,1,m,35,Manufacturing,BusinessDevelopment,Recommendation,no,m,white,car,5.4,4.8,4.1,7.9,7.5
14.98151951,1,f,33,Manufacturing,HR,EmployeeRecommendation,supervisor,m,white,car,4.6,4.8,7.2,7.9,6
26.21765914,1,f,36,Etc,HR,JobSite,no,m,white,foot,3,6.9,6.4,4.8,6
26.21765914,1,f,36,Etc,HR,JobSite,no,m,white,foot,2.2,6.9,8,6.3,3.7
26.21765914,1,f,36,Etc,HR,JobSite,no,m,white,foot,3,6.9,7.2,4.8,5.2
29.07597536,1,f,22,Etc,HR,JobSiteVacantPosition,yes,f,white,bus,9.4,4.1,4.1,4.8,9
33.3798768,1,f,38,Manufacturing,HR,Recommendation,no,m,white,bus,7.8,2.6,5.7,7.1,5.2
5.848049281,1,f,23,Banking,HR,Recommendation,yes,f,white,bus,4.6,6.9,7.2,5.6,4.4
5.848049281,1,f,23,Banking,HR,Recommendation,yes,f,white,bus,6.2,4.8,4.9,4.8,3.7
77.53593429,1,f,24,Etc,Sales,Recommendation,supervisor,f,white,bus,6.2,5.5,5.7,3.3,2.1
166.275154,1,m,26,Retail,Sales,FriendRecommendation,no,m,white,car,3,5.5,5.7,7.1,6.7
107.1704312,1,f,33,Etc,Etc,Advertising,no,m,white,bus,5.4,1,9.5,9.4,5.2
19.44969199,1,f,40,Banking,HR,JobSite,yes,f,grey,bus,6.2,3.4,8,3.3,3.7
8.640657084,1,f,23,Manufacturing,Management,RecruitingAgency,no,f,white,car,3.8,4.1,8.7,4,2.9
13.66735113,1,f,27,Retail,HR,JobSiteVacantPosition,no,m,white,car,8.6,4.8,7.2,4,3.7
6.275154004,1,f,24,PowerGeneration,Sales,JobSite,supervisor,f,white,bus,5.4,6.2,4.1,6.3,9.8
23.19507187,1,f,30,Banking,HR,Recommendation,no,f,white,car,5.4,7.6,2.6,5.6,6
16.32854209,1,f,37,Pharma,Etc,JobSite,no,f,white,car,4.6,7.6,5.7,5.6,8.3
26.11909651,1,f,31,Manufacturing,HR,Recommendation,no,m,grey,bus,3,7.6,4.9,5.6,5.2
35.38398357,1,f,31,Retail,HR,RecruitingAgency,no,m,white,bus,3.8,10,3.3,3.3,6.7
25.98767967,1,f,23,IT,HR,JobSiteVacantPosition,supervisor,f,white,bus,1.4,2.6,9.5,8.7,2.1
3.58110883,1,f,40,Banking,HR,JobSite,no,f,white,bus,7.8,5.5,2.6,6.3,8.3
3.58110883,1,f,40,Banking,HR,JobSite,no,f,white,bus,8.6,5.5,3.3,6.3,7.5
3.58110883,1,f,40,Banking,HR,JobSite,no,f,white,bus,7,6.9,4.1,5.6,7.5
1.708418891,1,f,37,Etc,Marketing,JobSiteVacantPosition,no,f,white,bus,4.6,2.6,8.7,4,2.9
25.23203285,1,f,30,Retail,Sales,JobSiteVacantPosition,no,f,white,bus,4.6,2.6,7.2,6.3,5.2
13.8973306,1,f,38,State,Teaching,EmployeeRecommendation,no,f,white,foot,3,9.1,4.1,4.8,6
63.11293634,1,m,32,Mining,Law,Recommendation,no,f,white,bus,3,4.8,4.1,7.1,7.5
11.30184805,1,f,34,Building,Marketing,EmployeeRecommendation,no,m,grey,car,9.4,3.4,4.9,3.3,6
11.69609856,1,f,25,Manufacturing,HR,JobSiteVacantPosition,supervisor,f,grey,car,3,4.8,7.2,7.9,5.2
11.69609856,1,f,25,Manufacturing,HR,JobSiteVacantPosition,supervisor,f,grey,car,3,5.5,5.7,7.1,5.2
30.22587269,0,m,33,Retail,HR,JobSite,supervisor,f,white,car,4.6,6.2,8,7.1,5.2
30.22587269,0,m,33,Retail,HR,JobSite,supervisor,f,white,car,5.4,7.6,5.7,7.1,6
38.01232033,0,m,33,Retail,HR,Recommendation,supervisor,m,white,car,3,4.1,8,7.1,3.7
21.61806982,1,m,37,Manufacturing,Management,Recommendation,no,m,grey,bus,3.8,4.8,4.9,7.1,6.7
39.06365503,1,f,31,Manufacturing,HR,Recommendation,supervisor,f,white,bus,6.2,4.8,4.1,4.8,5.2
138.9404517,0,f,30,RealEstate,BusinessDevelopment,EmployeeRecommendation,supervisor,m,white,foot,5.4,6.9,2.6,5.6,8.3
23.6550308,1,m,26,Manufacturing,Engineer,EmployeeRecommendation,supervisor,m,white,bus,4.6,5.5,8.7,5.6,1.3
20.56673511,1,m,33,Banking,Etc,JobSiteVacantPosition,no,m,white,car,6.2,4.1,3.3,8.7,9.8
